N,P,K,Temperature,Humidity,pH,Rainfall,Crop,Mixed_Crops,Organic_Fertilizer,Biopesticide,Agroforestry_Tree
137,44,183,16.5,73.3,7.5,797.7,grapes,Grapes+Legumes,Jeevamrutha,Beauveria Bassiana,Sesbania
29,67,188,33.1,78.1,7.6,743.4,chickpea,Wheat+Gram,Forest Leaf Compost,Panchagavya Extract,Leucaena
67,105,126,36.2,61.1,4.7,825.9,coffee,Coffee+Banana,Jeevamrutha,Panchagavya Extract,Gliricidia
102,68,44,25.4,72.3,4.9,355.2,rice,Rice+Sesbania,Panchagavya,Beauveria Bassiana,Leucaena
127,74,81,29.7,51.0,7.8,1133.0,coffee,Coffee+Banana,Neem Cake,Bt Spray,Leucaena
68,34,115,19.7,81.1,8.1,1864.5,coffee,Coffee+Banana,Panchagavya,Trichoderma,Gliricidia
135,18,123,16.0,69.8,5.6,433.0,chickpea,Wheat+Gram,Vermicompost,Beauveria Bassiana,Sesbania
136,38,182,19.8,59.2,5.6,1347.3,mungbean,Mungbean+Sorghum,Green Manure,Panchagavya Extract,Sesbania
128,97,199,29.5,51.3,5.0,340.7,kidneybeans,Beans+Maize,Vermicompost,Beauveria Bassiana,Gliricidia
117,14,183,27.5,88.1,6.9,1542.5,banana,Banana+Coffee,Forest Leaf Compost,Neem + Soap,Neem
138,68,102,18.8,65.5,6.2,948.9,muskmelon,Muskmelon+Beans,Vermicompost,Neem + Soap,Subabul
36,85,29,33.5,42.3,4.6,1335.9,mungbean,Mungbean+Sorghum,Neem Cake,Panchagavya Extract,Subabul
48,69,166,30.6,40.6,6.8,918.0,chickpea,Wheat+Gram,Forest Leaf Compost,Neem Oil,Drumstick
37,114,66,22.1,87.7,6.4,733.8,lentil,Lentil+Mustard,Panchagavya,Bt Spray,Gliricidia
90,35,53,26.6,79.0,6.8,584.0,pomegranate,Pomegranate+Marigold,Jeevamrutha,Trichoderma,Leucaena
75,108,129,19.0,87.3,6.9,451.7,cotton,Cotton+Turmeric,Jeevamrutha,Trichoderma,Acacia
97,117,54,38.0,76.8,5.6,1258.4,rice,Rice+Sesbania,Panchagavya,Neem + Soap,Leucaena
66,62,115,32.4,75.7,6.8,398.3,chickpea,Wheat+Gram,Green Manure,Beauveria Bassiana,Drumstick
28,24,96,32.3,60.8,8.1,1638.6,kidneybeans,Beans+Maize,Jeevamrutha,Panchagavya Extract,Subabul
17,102,32,29.2,78.6,6.2,1328.0,papaya,Papaya+Drumstick,Farmyard Manure,Beauveria Bassiana,Casuarina
107,57,72,34.9,30.6,7.3,1079.2,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Bt Spray,Subabul
117,38,126,38.1,88.8,8.1,1662.0,cotton,Cotton+Turmeric,Bio-slurry,Garlic-Chili Extract,Neem
40,113,113,26.3,79.4,5.7,788.0,pomegranate,Pomegranate+Marigold,Jeevamrutha,Panchagavya Extract,Leucaena
61,44,89,34.4,64.7,8.3,609.0,chickpea,Wheat+Gram,Green Manure,Beauveria Bassiana,Subabul
93,7,197,20.2,35.7,8.3,406.2,rice,Rice+Sesbania,Farmyard Manure,Pseudomonas,Sesbania
41,72,66,29.1,39.1,5.4,463.9,muskmelon,Muskmelon+Beans,Jeevamrutha,Neem Oil,Gliricidia
131,82,55,32.5,54.6,5.8,1334.1,grapes,Grapes+Legumes,Forest Leaf Compost,Garlic-Chili Extract,Neem
111,53,182,33.3,82.9,7.1,625.7,chickpea,Wheat+Gram,Panchagavya,Pseudomonas,Sesbania
92,62,12,28.6,74.2,6.1,455.9,maize,Maize+Beans,Panchagavya,Garlic-Chili Extract,Drumstick
36,22,67,22.1,38.5,6.9,987.6,coffee,Coffee+Banana,Green Manure,Beauveria Bassiana,Gliricidia
38,36,75,19.7,70.0,6.2,1752.9,blackgram,Blackgram+Maize,Bio-slurry,Trichoderma,Neem
50,117,48,27.2,36.1,5.1,282.1,muskmelon,Muskmelon+Beans,Panchagavya,Neem Oil,Acacia
116,14,122,25.7,78.9,5.0,1337.4,grapes,Grapes+Legumes,Bio-slurry,Beauveria Bassiana,Subabul
139,19,14,31.4,32.5,7.4,1689.2,jute,Jute+Rice,Green Manure,Pseudomonas,Drumstick
38,67,142,21.6,52.9,4.5,1223.1,muskmelon,Muskmelon+Beans,Neem Cake,Garlic-Chili Extract,Leucaena
85,90,54,33.8,59.2,6.4,1765.1,apple,Apple+Medicinal Plants,Neem Cake,Neem Oil,Gliricidia
10,7,175,34.3,51.2,7.1,462.2,pigeonpeas,Pigeon Pea+Millet,Farmyard Manure,Pseudomonas,Drumstick
33,30,110,32.9,33.7,7.1,1428.1,mothbeans,Mothbean+Castor,Forest Leaf Compost,Garlic-Chili Extract,Acacia
70,35,182,25.7,33.8,6.7,1556.4,coconut,Coconut+Pineapple,Green Manure,Panchagavya Extract,Neem
64,106,46,29.4,40.2,6.8,1135.3,banana,Banana+Coffee,Vermicompost,Garlic-Chili Extract,Sesbania
70,42,184,33.9,69.8,8.0,623.7,watermelon,Watermelon+Maize,Panchagavya,Neem + Soap,Acacia
26,98,170,19.5,67.7,5.1,495.8,pomegranate,Pomegranate+Marigold,Vermicompost,Garlic-Chili Extract,Leucaena
131,49,111,20.4,55.6,4.6,390.0,papaya,Papaya+Drumstick,Vermicompost,Panchagavya Extract,Drumstick
115,51,121,31.6,71.1,4.8,1149.6,rice,Rice+Sesbania,Neem Cake,Garlic-Chili Extract,Drumstick
109,14,72,22.1,36.5,5.6,308.5,apple,Apple+Medicinal Plants,Panchagavya,Neem + Soap,Gliricidia
84,113,59,28.0,47.2,4.8,749.9,maize,Maize+Beans,Farmyard Manure,Panchagavya Extract,Leucaena
34,13,107,36.6,44.2,5.0,450.5,blackgram,Blackgram+Maize,Farmyard Manure,Trichoderma,Neem
41,51,11,30.6,74.2,4.6,1009.1,mango,Mango+Turmeric,Vermicompost,Panchagavya Extract,Subabul
118,70,132,28.4,67.3,5.4,1694.6,mungbean,Mungbean+Sorghum,Bio-slurry,Trichoderma,Drumstick
56,73,153,18.6,38.9,4.8,1813.5,jute,Jute+Rice,Forest Leaf Compost,Neem + Soap,Leucaena
124,102,125,33.5,30.4,6.6,750.2,pomegranate,Pomegranate+Marigold,Forest Leaf Compost,Panchagavya Extract,Gliricidia
117,85,55,16.8,45.6,8.3,613.1,mungbean,Mungbean+Sorghum,Forest Leaf Compost,Panchagavya Extract,Casuarina
40,107,75,23.2,87.3,6.5,980.3,maize,Maize+Beans,Green Manure,Panchagavya Extract,Gliricidia
27,60,155,37.7,54.2,5.8,822.0,jute,Jute+Rice,Jeevamrutha,Trichoderma,Gliricidia
30,45,194,38.1,74.7,6.2,353.0,blackgram,Blackgram+Maize,Vermicompost,Trichoderma,Drumstick
57,45,67,16.5,87.9,7.0,1658.7,blackgram,Blackgram+Maize,Panchagavya,Neem + Soap,Neem
80,30,195,15.1,51.7,5.8,275.7,kidneybeans,Beans+Maize,Vermicompost,Trichoderma,Casuarina
90,9,132,30.8,66.0,8.4,683.1,jute,Jute+Rice,Green Manure,Panchagavya Extract,Acacia
66,106,146,30.1,74.8,7.4,1754.8,orange,Orange+Spices,Vermicompost,Trichoderma,Neem
29,10,127,18.4,79.3,5.6,1228.4,mungbean,Mungbean+Sorghum,Forest Leaf Compost,Panchagavya Extract,Casuarina
53,35,137,35.5,73.7,5.6,1229.6,orange,Orange+Spices,Forest Leaf Compost,Garlic-Chili Extract,Leucaena
88,87,78,34.4,33.6,7.1,504.7,chickpea,Wheat+Gram,Panchagavya,Beauveria Bassiana,Casuarina
102,6,113,38.1,35.8,8.5,569.4,maize,Maize+Beans,Farmyard Manure,Trichoderma,Neem
69,105,105,23.4,80.2,5.9,899.7,blackgram,Blackgram+Maize,Green Manure,Garlic-Chili Extract,Leucaena
73,80,167,15.1,71.1,6.0,1090.7,jute,Jute+Rice,Green Manure,Neem + Soap,Subabul
130,119,120,33.6,60.4,5.7,1108.2,papaya,Papaya+Drumstick,Bio-slurry,Trichoderma,Neem
33,116,190,17.2,77.8,5.6,1455.1,maize,Maize+Beans,Neem Cake,Neem Oil,Leucaena
43,74,195,25.0,66.7,4.6,1083.5,grapes,Grapes+Legumes,Bio-slurry,Pseudomonas,Sesbania
